ADC,Temperature (C)
932720,12.91449582504345
937960,12.984492595283026
943200,13.054537653773401
948440,13.124630848430467
953680,13.194772008783634
958920,13.264960946400159
964160,13.335197455305693
969400,13.405481312400934
974640,13.47581227787457
979880,13.546190095612442
985120,13.616614493602814
990360,13.68708518433808
995600,13.75760186521256
1000840,13.828164218916719
1006080,13.898771913827531
1011320,13.969424604395247
1016560,14.040121931526468
1021800,14.110863522963484
1027040,14.181648993660051
1032280,14.252477946153444
1037520,14.323349970932945
1042760,14.394264646804658
1048000,14.465221541252781
1053240,14.536220210797282
1058480,14.607260201347945
1063720,14.678341048554937
1068960,14.749462278155793
1074200,14.820623406318884
1079440,14.891823939983329
1084680,14.963063377195471
1089920,15.034341207441837
1095160,15.105656911978588
1100400,15.177009964157545
1105640,15.248399829748816
1110880,15.31982596725987
1116120,15.391287828251308
1121360,15.462784857649169
1126600,15.534316494053883
1131840,15.605882170045795
1137080,15.677481312487377
1142320,15.749113342822099
1147560,15.820777677369904
1152800,15.8924737276194
1158040,15.964200900516786
1163280,16.035958598751424
1168520,16.10774622103814
1173760,16.179563162396295
1179000,16.2514088144256
1184240,16.323282565578648
1189480,16.395183801430278
1194720,16.46711190494371
1199960,16.53906625673349
1205200,16.611046235325247
1210440,16.683051217412263
1215680,16.755080578108966
1220920,16.82713369120119
1226160,16.899209929393365
1231400,16.971308664552584
1236640,17.04342926794961
1241880,17.115571110496703
1247120,17.187733562982476
1252360,17.25991599630368
1257600,17.332117781693885
1262840,17.404338290949205
1268080,17.47657689665098
1273320,17.54883297238547
1278560,17.621105892960543
1283800,17.693395034619403
1289040,17.765699775251395
1294280,17.83801949459981
1299520,17.910353574466768
1304760,17.98270139891528
1310000,18.055062354468244
1315240,18.127435830304705
1320480,18.19982121845315
1325720,18.27221791398202
1330960,18.34462531518726
1336200,18.417042823777177
1341440,18.489469845054394
1346680,18.561905788094997
1351920,18.634350065924945
1357160,18.70680209569365
1362400,18.779261298844876
1367640,18.851727101284755
1372880,18.924198933547213
1378120,18.996676230956613
1383360,19.069158433787656
1388600,19.141644987422655
1393840,19.21413534250609
1399080,19.286628955096567
1404320,19.35912528681599
1409560,19.43162380499623
1414800,19.504123982823163
1420040,19.576625299477982
1425280,19.649127240276037
1430520,19.72162929680306
1435760,19.794130967048822
1441000,19.8666317555382
1446240,19.93913117345977
1451480,20.011628738791853
1456720,20.08412397642601
1461960,20.15661641828811
1467200,20.22910560345685
1472440,20.30159107827989
1477680,20.374072396487424
1482920,20.446549119303402
1488160,20.519020815554295
1493400,20.591487061775428
1498640,20.663947442314953
1503880,20.73640154943541
1509120,20.808848983412922
1514360,20.881289352634045
1519600,20.953722273690257
1524840,21.026147371470163
1530080,21.098564279249302
1535320,21.170972638777737
